model_id,cell_id,turn_label,cell_kind,difficulty,feedback_validity,tone,n_items,n_endpoints,mean_m1,n_m1,mean_m2,n_m2,mean_entropy_mean,n_entropy_mean,mean_length_tokens,n_length_tokens,mean_accuracy,n_accuracy,mean_non_answer_rate,n_non_answer_rate,mean_resample_invalid_rate,n_resample_invalid_rate,ci95_lower_m1,ci95_upper_m1,ci95_lower_non_answer_rate,ci95_upper_non_answer_rate
google/gemma-2-2b-it,hard__malfunctioning_always_fail__hostile,measured,factorial,hard,malfunctioning_always_fail,hostile,10,10,-1.0347221973610834,9,0.2333333333333333,3,0.4276131044217158,10,183.5,10,0.3333333333333333,9,0.1,10,0.23,10,-6.076736003800114,4.243229046045517,0.0,0.3
google/gemma-2-2b-it,hard__malfunctioning_always_fail__hostile,recovery,factorial,hard,malfunctioning_always_fail,hostile,10,10,-0.6640625650907168,8,0.2,2,0.2537296149811739,10,116.4,10,0.3333333333333333,9,0.1,10,0.27,10,-5.969531248841667,4.861523425918847,0.0,0.3
google/gemma-2-2b-it,hard__malfunctioning_always_fail__neutral,measured,factorial,hard,malfunctioning_always_fail,neutral,10,10,0.27083324051798424,9,0.26666666666666666,3,0.33618335927611165,10,203.8,10,0.4444444444444444,9,0.1,10,0.14,10,-4.896875163369178,5.4722221900657235,0.0,0.3
google/gemma-2-2b-it,hard__malfunctioning_always_fail__neutral,recovery,factorial,hard,malfunctioning_always_fail,neutral,10,10,1.4687499762658263,8,0.55,2,0.06650146559275764,10,238.7,10,0.5,8,0.2,10,0.19,10,-4.180078172689354,6.773632624577475,0.0,0.5
google/gemma-2-9b-it,easy__accurate__hostile,measured,factorial,easy,accurate,hostile,10,10,12.356249912190833,10,0.2714285714285714,7,0.25314018258253373,10,108.1,10,1.0,10,0.0,10,0.030000000000000002,10,10.543749935204723,13.656249897846319,0.0,0.0
google/gemma-2-9b-it,easy__accurate__hostile,onset,factorial,easy,accurate,hostile,10,10,6.097222161935254,9,0.0,1,0.2881975435429138,10,114.8,10,0.7777777777777778,9,0.1,10,0.2,10,0.3527777374693769,10.7501736054184,0.0,0.3
google/gemma-2-9b-it,easy__accurate__hostile,onset_washout,factorial,easy,accurate,hostile,10,10,11.228125028177237,10,0.325,4,0.14228857020667732,10,101.8,10,0.9,10,0.0,10,0.08,10,7.2562500677551,13.659531415024247,0.0,0.0
google/gemma-2-9b-it,easy__accurate__neutral,measured,factorial,easy,accurate,neutral,10,10,14.631249790311085,10,0.009999999999999998,10,0.2877617203280648,10,64.5,10,1.0,10,0.0,10,0.0,10,13.90617176100798,15.371953018901543,0.0,0.0
google/gemma-2-9b-it,easy__accurate__neutral,onset,factorial,easy,accurate,neutral,10,10,11.171875002181332,10,0.009999999999999998,10,0.20962526872431952,10,59.6,10,1.0,10,0.0,10,0.0,10,10.21249995611226,12.306406489891376,0.0,0.0
google/gemma-2-9b-it,easy__accurate__neutral,onset_washout,factorial,easy,accurate,neutral,10,10,12.909374906307495,10,0.009999999999999998,10,0.1735636252308786,10,57.6,10,1.0,10,0.0,10,0.0,10,12.299999865098034,13.550078036016348,0.0,0.0
google/gemma-2-9b-it,easy__malfunctioning_always_fail__hostile,measured,factorial,easy,malfunctioning_always_fail,hostile,10,10,9.859375117031231,10,0.012499999999999997,8,0.26313579701101714,10,89.1,10,0.9,10,0.0,10,0.030000000000000002,10,4.746875291895521,12.975156289914084,0.0,0.0
google/gemma-2-9b-it,easy__malfunctioning_always_fail__hostile,recovery,factorial,easy,malfunctioning_always_fail,hostile,10,10,10.799999956475222,10,0.0,8,0.16905201653844573,10,83.2,10,1.0,10,0.0,10,0.04,10,10.187343642035122,11.612656332599071,0.0,0.0
google/gemma-2-9b-it,easy__malfunctioning_always_fail__neutral,measured,factorial,easy,malfunctioning_always_fail,neutral,10,10,10.831250063045445,10,0.009999999999999998,10,0.27328051565683675,10,75.4,10,1.0,10,0.0,10,0.0,10,9.631250057836041,11.93765635501353,0.0,0.0
google/gemma-2-9b-it,easy__malfunctioning_always_fail__neutral,recovery,factorial,easy,malfunctioning_always_fail,neutral,10,10,9.468749970087083,10,0.0,10,0.18236675803081895,10,63.4,10,1.0,10,0.0,10,0.0,10,8.256249919179245,10.556562683317532,0.0,0.0
google/gemma-2-9b-it,hard__accurate__hostile,measured,factorial,hard,accurate,hostile,10,10,1.3214287654450996,7,0.25,6,0.2818027126914158,10,211.6,10,0.5714285714285714,7,0.3,10,0.16,10,-7.779017647054985,8.982143039031403,0.0,0.6
google/gemma-2-9b-it,hard__accurate__hostile,onset,factorial,hard,accurate,hostile,10,10,-1.2375002016604413,5,,0,0.3870841886425382,10,207.9,10,0.4,5,0.5,10,0.66,10,-9.525000075309071,7.512499643024057,0.2,0.8
google/gemma-2-9b-it,hard__accurate__hostile,onset_washout,factorial,hard,accurate,hostile,10,10,1.4196428144807993,7,,0,0.24254132227435382,10,182.9,10,0.5714285714285714,7,0.3,10,0.31,10,-5.964955337854709,7.947098037522453,0.09750000000000014,0.6
google/gemma-2-9b-it,hard__accurate__neutral,measured,factorial,hard,accurate,neutral,10,10,9.621093617929773,8,0.06666666666666667,6,0.24436213128108036,10,175.1,10,0.875,8,0.2,10,0.11,10,3.834960720740952,13.774121011485166,0.0,0.5
google/gemma-2-9b-it,hard__accurate__neutral,onset,factorial,hard,accurate,neutral,10,10,7.898437563218977,8,0.08333333333333333,6,0.198648320062671,10,147.2,10,0.75,8,0.2,10,0.14,10,3.2095703952524675,11.508398505395869,0.0,0.5
google/gemma-2-9b-it,hard__accurate__neutral,onset_washout,factorial,hard,accurate,neutral,10,10,7.515625111820555,8,0.08333333333333333,6,0.12774102723171013,10,159.7,10,0.75,8,0.2,10,0.13,10,-0.23710929212143111,13.10156280868432,0.0,0.5
google/gemma-2-9b-it,hard__malfunctioning_always_fail__hostile,measured,factorial,hard,malfunctioning_always_fail,hostile,10,10,6.343749958904482,8,0.2,5,0.24968565918594068,10,224.1,10,0.75,8,0.2,10,0.13,10,-2.0859376630296538,12.484375009318683,0.0,0.5
google/gemma-2-9b-it,hard__malfunctioning_always_fail__hostile,recovery,factorial,hard,malfunctioning_always_fail,hostile,10,10,4.294642937117065,7,0.23333333333333336,3,0.24188816395339566,10,217.1,10,0.7142857142857143,7,0.3,10,0.25,10,-2.6254464936314044,11.044866273318204,0.0,0.6
google/gemma-2-9b-it,hard__malfunctioning_always_fail__neutral,measured,factorial,hard,malfunctioning_always_fail,neutral,10,10,8.3906250201062,8,0.2857142857142857,7,0.23043958544936236,10,200.1,10,0.875,8,0.2,10,0.12,10,2.913281299791606,11.89062487594856,0.0,0.5
google/gemma-2-9b-it,hard__malfunctioning_always_fail__neutral,recovery,factorial,hard,malfunctioning_always_fail,neutral,10,10,2.5937500780346454,8,0.23333333333333334,6,0.14741653589470927,10,195.0,10,0.625,8,0.2,10,0.18,10,-3.867187472325895,7.925000155352774,0.0,0.5
